date,telegram_user_id,user_input,game_name,steam_appid,rating
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Roman Empire vs. Barbarians,2293520,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,The Last Roman Village,998830,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Monstronium,1891510,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Roman Conquest: Rise to Power,2425260,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Iron Storm,296180,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Ворота Куликова поля. Битва за Епифань,2687540,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Empyreal Dawn,1870220,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Мольфар: Поклик Серця,2226100,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Soul Invictus,1692980,5
2024-07-04 12:52:00,498677834,medieval strategy with roman and german units,Windfolk: Sky is just the Beginning,1966700,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Wars Across The World: Dacia 101,2517030,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Age of Conquest IV,314970,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Voor De Kroon,1702390,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Wars Across the World: Carrhae 53,554371,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Medieval Remembrance,1802090,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Wars Across The World: Cortenuova 1237,1665841,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,The Last Roman Village,998830,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Steel Division 2 - Nemesis #6 - Siege of Dunkirk,2155260,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Roman Empire vs. Barbarians,2293520,5
2024-07-04 13:04:27,498677834,medieval strategy with roman and german units,Steel Division 2 - Tribute to the Liberation of Italy,1640470,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",2033: Das Erschwachen der Macht,1716370,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Vom Drachentöten,2330410,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Тридевятые земли(Свет или тьма),847100,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Legacy 1917,1932970,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Community College Hero: All Things End,1366980,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Juniper Burning,2724930,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Doomed Stars,3012270,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Through the Darkest of Times,1003090,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",DROPTCH,1697630,5
2024-07-04 13:16:45,498677834,"история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",VideoHole: Episode II,2269060,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",QuiVr,489380,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Among Us VR,1849900,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Gnomes Vs. Fairies: Greckel's Quest,406220,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Atoms,765460,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",ROBOCRACY,1853510,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Expansion VR,2669520,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Brisk Square,2167660,5
